,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A02,FAM,Unkn,472,1,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A04,FAM,Unkn,502,8,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A05,FAM,Unkn,523,15,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A06,FAM,Unkn,590,22,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A07,FAM,Unkn,472,1,38.20,38.20,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A08,FAM,Unkn,502,8,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A09,FAM,Unkn,523,15,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A10,FAM,Unkn,590,22,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A11,FAM,NTC,NTC,1,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B02,FAM,Unkn,474,2,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B04,FAM,Unkn,503,9,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B05,FAM,Unkn,524,16,37.39,37.39,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B06,FAM,Unkn,591,23,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B07,FAM,Unkn,474,2,38.24,38.24,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B08,FAM,Unkn,503,9,37.32,37.32,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B09,FAM,Unkn,524,16,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
